Species,Mass Arrival Date,Peak Date,Peak Over Date
Wood Thrush,04-22,05-07,07-14
American Coot,03-05,04-07,05-07
Iceland Gull,02-28,02-28,02-28
Yellow-breasted Chat,05-08,05-14,05-20
Yellow-billed Cuckoo,05-12,05-21,08-19
Yellow-bellied Flycatcher,05-09,05-21,06-02
Yellow-bellied Sapsucker,03-25,04-14,04-27
Yellow-headed Blackbird,05-14,05-14,05-14
Yellow Warbler,04-21,05-14,08-18
Yellow-rumped Warbler,04-08,04-30,05-19
Yellow-throated Vireo,04-26,05-14,05-31
Yellow-throated Warbler,04-22,04-30,05-06
