Species,Mass Arrival Date,Peak Date,Peak Over Date
Snowy Egret,05-22,05-31,06-06
Snow Goose,02-24,02-28,03-01
Snowy Owl,03-07,03-07,03-07
Solitary Sandpiper,04-16,04-30,05-17
Song Sparrow,02-28,03-31,08-24
Sora,04-07,04-30,05-19
Spotted Sandpiper,04-14,05-21,09-27
Spotted Towhee,02-28,02-28,02-28
Stilt Sandpiper,04-16,05-14,05-23
Summer Tanager,04-21,05-07,05-25
Surf Scoter,03-09,04-21,05-10
Swamp Sparrow,04-06,04-30,05-21
Swainson's Thrush,04-22,05-14,05-28
Swainson's Warbler,05-01,05-07,05-13
Swallow-tailed Kite,04-26,05-07,05-13
Tennessee Warbler,04-30,05-14,05-26
Townsend's Solitaire,03-07,03-07,03-07
Townsend's Warbler,04-22,04-30,05-06
Tree Swallow,03-20,05-14,10-28
Tricolored Heron,04-02,04-14,04-20
Trumpeter Swan,02-26,02-28,03-02
Tufted Duck,04-15,04-21,04-29
Tufted Titmouse,04-06,04-07,04-08
Tundra Swan,02-20,02-28,03-16
Turkey Vulture,03-08,05-07,11-07
Upland Sandpiper,04-15,04-21,04-30
Varied Thrush,02-28,02-28,02-28
Veery,04-22,05-07,05-21
Vesper Sparrow,03-23,04-07,04-29
Virginia Rail,04-20,04-30,05-06
Warbling Vireo,04-22,05-14,09-12
Western Grebe,04-15,04-21,04-29
Western Kingbird,05-15,05-21,06-05
Western Meadowlark,05-22,05-31,06-06
Western Sandpiper,04-08,04-14,05-12
Western Tanager,04-22,04-30,05-06
White-breasted Nuthatch,04-14,04-14,04-14
White-crowned Sparrow,04-20,05-07,05-19
White-eyed Vireo,04-15,04-30,05-20
White-faced Ibis,04-16,05-07,05-25
Whimbrel,05-09,05-21,05-30
Whooper Swan,03-22,03-31,04-06
White-rumped Sandpiper,05-03,05-31,06-13
White-throated Sparrow,04-09,04-30,05-13
White-winged Crossbill,02-28,02-28,02-28
White-winged Dove,05-14,05-21,06-02
White-winged Scoter,02-18,03-14,04-01
Willow Flycatcher,05-07,05-21,08-29
Willet,04-15,04-21,05-18
Wilson's Phalarope,04-16,05-07,05-21
Willow Ptarmigan,05-01,05-07,05-13
Wilson's Snipe,03-14,04-14,05-02
Wild Turkey,03-31,05-07,06-10
Winter Wren,03-21,04-14,05-05
Wilson's Warbler,05-01,05-14,05-27
Worm-eating Warbler,04-13,04-30,05-20
Wood Duck,03-04,04-14,11-09
Wood Thrush,04-20,05-07,06-13
American Coot,03-08,04-14,05-05
Iceland Gull,03-14,03-14,03-14
Yellow-crowned Night Heron,04-22,05-07,05-13
Yellow-breasted Chat,04-18,04-30,05-20
Yellow-billed Cuckoo,05-07,05-31,09-16
Yellow-bellied Flycatcher,05-03,05-14,06-03
Yellow-bellied Sapsucker,03-22,04-14,05-01
Yellow-headed Blackbird,03-14,03-14,03-14
Yellow Rail,04-22,04-30,05-06
Yellow Warbler,04-18,05-07,08-18
Yellow-rumped Warbler,04-01,04-30,05-20
Yellow-throated Vireo,04-21,05-07,05-27
Yellow-throated Warbler,04-12,04-21,05-16
